RF,xgb,pcr,sdoc,NN
-0.0763,-0.0266,0.0011,-0.0118,0.0053
0.0101,-0.0061,-0.0017,0.0052,0.0062
-0.0310,-0.0231,-0.0009,0.0032,0.0019
-0.1022,0.0063,-0.0009,0.0032,0.0146
-0.0491,0.0067,0.0015,-0.0628,-0.0192
-0.0286,-0.0135,0.0004,-0.0015,-0.0076
-0.0201,-0.6195,0.0035,0.0248,0.0172
-0.0476,0.0302,0.0004,0.0299,0.0282
-0.0459,-0.0295,0.0013,0.005,0.0084
-0.0447,0.0203,-0.0007,0.0052,-4.0816
-0.0272,-0.1087,0.0019,0.0186,0.0111
-0.0038,-0.0414,0.0025,-0.0054,0.0154
-0.0475,-0.0184,-0.0014,0.0047,0
-0.0091,-0.0625,-0.0001,0.018,0.0169
-0.0199,-0.1026,0.0033,0.0192,0.0164
-0.1397,-0.0191,0.0012,0.0063,0.0058
-0.0543,-0.0037,-0.0009,0.0108,0.0098
-0.0649,-0.0164,0.0017,0.0069,0.0076
-0.0288,0.0061,0.0006,0.0192,0.0089
-0.0323,-0.1184,0.001,0.0191,0.0231
-0.0494,-0.0183,0.0006,0.0143,0.0098
-0.0520,-0.0156,-0.0016,0.002,0.006
-0.0331,0.0567,0,0.0024,0.0099
0.003,-0.0914,0.0001,0.036,0.007
-0.0408,-0.0378,-0.0016,0.0094,0.0211
-0.0527,-0.0118,0.0031,0.0099,0.0113
-0.0178,0.0296,0.0035,0.0067,0.0098
-0.0658,-0.0068,-0.001,-0.0013,0.0017
-0.0323,-0.0138,-0.0017,-0.0176,-0.0131
-0.0196,0.0054,-0.0007,0.0213,0.0227
-0.0180,0.0545,-0.0008,-0.0118,0.0024
-0.0473,-0.0291,-0.0044,-0.0034,-0.0209
0.0544,-0.0974,-0.0013,-0.0942,0.0005
0.0135,-0.0745,0.0025,0.0318,0.0281
-0.0437,0.0035,-0.0005,0.0081,0.0094
-0.0180,-0.1646,-0.0025,-0.0032,-1.7099
-0.0479,-0.0545,-0.0009,0.003,0.0078
0.0636,-0.1417,-0.0032,0.0093,0.0174
-0.0611,-0.0513,-0.0005,0.0074,0.0039
-0.0183,-0.0939,-0.001,-0.134,0.0215
-0.0173,0.0225,0.003,-0.037,0.0431
-0.0161,-0.1512,0.0032,0.0019,0.0285
-0.0673,-0.0139,0.0009,-0.0713,0.0067
-0.0324,-0.0207,-0.0017,0.0008,0.0194
-0.0445,-0.0901,-0.0038,-0.0236,-0.0055
0.0296,0.1136,-0.0034,-0.0187,0.0166
0.0194,-0.0771,-0.0011,0.0174,0.0042
-0.0543,0.0325,0.006,-0.0611,-0.0116
0.0124,-0.0222,-0.0042,0.002,0.0134
-0.0287,-0.0461,-0.0016,0.0363,0.0131
-0.0951,-0.0614,-0.0072,0.0102,-0.0109
0.0330,0.0054,-0.0016,-0.1325,0.0274
-0.0762,-0.0465,-0.0027,-0.0136,-0.0364
-0.0219,0.0144,-0.0015,-0.0606,-0.0041
-0.0281,-0.0324,-0.0047,-0.156,0.0129
-0.0195,-0.0312,0.003,-0.1219,0.016
-0.1140,-0.2305,-0.0005,0.0385,-0.0356
0.0363,-0.264,0.0019,0.0056,0.0132
-0.0051,-0.102,-0.0104,-0.1063,0.0207
-0.0466,-0.0484,-0.001,-62.0244,0.0096
-0.0207,-0.1803,0.0019,-47.65,0.0064
0.0327,-0.2108,-0.0014,-0.2761,0.0256
-0.0140,-0.0565,0.0014,0.0394,0.0333
